"Parámetro","Fecha","Hora","Valor","Unidad"
"PM2.5","2021-06-08","9:00 - 10:00","18","µg/m³"
"PM2.5","2021-06-08","10:00 - 11:00","16","µg/m³"
"PM2.5","2021-06-08","11:00 - 12:00","29","µg/m³"
"PM2.5","2021-06-08","12:00 - 13:00","24","µg/m³"
"PM2.5","2021-06-08","13:00 - 14:00","24","µg/m³"
"PM2.5","2021-06-08","14:00 - 15:00","30","µg/m³"
"PM2.5","2021-06-08","15:00 - 16:00","47","µg/m³"
"PM2.5","2021-06-08","16:00 - 17:00","22","µg/m³"
"PM2.5","2021-06-08","17:00 - 18:00","25","µg/m³"
"PM2.5","2021-06-08","18:00 - 19:00","19","µg/m³"
"PM2.5","2021-06-08","19:00 - 20:00","16","µg/m³"
"PM2.5","2021-06-08","20:00 - 21:00","39","µg/m³"
"PM2.5","2021-06-08","21:00 - 22:00","14","µg/m³"
"PM2.5","2021-06-08","22:00 - 23:00","21","µg/m³"
"PM2.5","2021-06-09","13:00 - 14:00","55","µg/m³"
"PM2.5","2021-06-09","14:00 - 15:00","39","µg/m³"
"PM2.5","2021-06-09","15:00 - 16:00","30","µg/m³"
"PM2.5","2021-06-09","16:00 - 17:00","19","µg/m³"
"PM2.5","2021-06-09","17:00 - 18:00","15","µg/m³"
"PM2.5","2021-06-09","18:00 - 19:00","19","µg/m³"
"PM2.5","2021-06-09","19:00 - 20:00","31","µg/m³"
"PM2.5","2021-06-24","2:00 - 3:00","20","µg/m³"
"PM2.5","2021-06-24","3:00 - 4:00","9","µg/m³"
"PM2.5","2021-06-24","4:00 - 5:00","6","µg/m³"
"PM2.5","2021-06-24","5:00 - 6:00","9","µg/m³"
"PM2.5","2021-06-24","6:00 - 7:00","11","µg/m³"
"PM2.5","2021-06-24","7:00 - 8:00","12","µg/m³"
"PM2.5","2021-06-24","8:00 - 9:00","17","µg/m³"
"PM2.5","2021-06-24","9:00 - 10:00","24","µg/m³"
"PM2.5","2021-06-24","10:00 - 11:00","37","µg/m³"
"PM2.5","2021-06-24","11:00 - 12:00","38","µg/m³"
"PM2.5","2021-06-24","12:00 - 13:00","49","µg/m³"
"PM2.5","2021-06-24","13:00 - 14:00","36","µg/m³"
"PM2.5","2021-06-24","14:00 - 15:00","44","µg/m³"
"PM2.5","2021-06-24","15:00 - 16:00","44","µg/m³"
"PM2.5","2021-06-24","16:00 - 17:00","57","µg/m³"
"PM2.5","2021-06-24","17:00 - 18:00","41","µg/m³"
"PM2.5","2021-06-24","18:00 - 19:00","30","µg/m³"
"PM2.5","2021-06-24","19:00 - 20:00","25","µg/m³"
"PM2.5","2021-06-24","20:00 - 21:00","20","µg/m³"
"PM2.5","2021-06-24","21:00 - 22:00","16","µg/m³"
"PM2.5","2021-06-24","22:00 - 23:00","14","µg/m³"
"PM2.5","2021-06-25","23:00 - 0:00","9","µg/m³"
"PM2.5","2021-06-25","0:00 - 1:00","2","µg/m³"
"PM2.5","2021-06-25","1:00 - 2:00","10","µg/m³"
"PM2.5","2021-06-25","2:00 - 3:00","17","µg/m³"
"PM2.5","2021-06-25","4:00 - 5:00","0","µg/m³"
"PM2.5","2021-06-25","5:00 - 6:00","12","µg/m³"
"PM2.5","2021-06-25","6:00 - 7:00","23","µg/m³"
"PM2.5","2021-06-25","7:00 - 8:00","31","µg/m³"
"PM2.5","2021-06-25","8:00 - 9:00","18","µg/m³"
"PM2.5","2021-06-25","9:00 - 10:00","7","µg/m³"
"PM2.5","2021-06-25","10:00 - 11:00","18","µg/m³"
"PM2.5","2021-06-25","11:00 - 12:00","18","µg/m³"
"PM2.5","2021-06-25","12:00 - 13:00","19","µg/m³"
"PM2.5","2021-06-25","13:00 - 14:00","10","µg/m³"
"PM2.5","2021-06-25","14:00 - 15:00","22","µg/m³"
"PM2.5","2021-06-25","16:00 - 17:00","7","µg/m³"
"PM2.5","2021-06-25","18:00 - 19:00","19","µg/m³"
"PM2.5","2021-06-25","19:00 - 20:00","9","µg/m³"
"PM2.5","2021-06-25","20:00 - 21:00","10","µg/m³"
"PM2.5","2021-06-25","21:00 - 22:00","15","µg/m³"
"PM2.5","2021-06-25","22:00 - 23:00","17","µg/m³"
"PM2.5","2021-06-26","23:00 - 0:00","11","µg/m³"
"PM2.5","2021-06-26","0:00 - 1:00","15","µg/m³"
