"Parámetro","Fecha","Hora","Valor","Unidad"
"SO2","2021-07-07","4:00 - 5:00","0.002","ppm"
"SO2","2021-07-07","5:00 - 6:00","0.001","ppm"
"SO2","2021-07-07","6:00 - 7:00","0.002","ppm"
"SO2","2021-07-07","7:00 - 8:00","0.002","ppm"
"SO2","2021-07-07","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-07","9:00 - 10:00","0.003","ppm"
"SO2","2021-07-07","10:00 - 11:00","0.004","ppm"
"SO2","2021-07-07","11:00 - 12:00","0.005","ppm"
"SO2","2021-07-07","12:00 - 13:00","0.007","ppm"
"SO2","2021-07-07","13:00 - 14:00","0.006","ppm"
"SO2","2021-07-07","14:00 - 15:00","0.005","ppm"
"SO2","2021-07-07","15:00 - 16:00","0.004","ppm"
"SO2","2021-07-07","16:00 - 17:00","0.003","ppm"
"SO2","2021-07-07","17:00 - 18:00","0.002","ppm"
"SO2","2021-07-07","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-07","19:00 - 20:00","0.002","ppm"
"SO2","2021-07-07","20:00 - 21:00","0.002","ppm"
"SO2","2021-07-07","21:00 - 22:00","0.002","ppm"
"SO2","2021-07-07","22:00 - 23:00","0.003","ppm"
"SO2","2021-07-08","23:00 - 0:00","0.003","ppm"
"SO2","2021-07-08","0:00 - 1:00","0.002","ppm"
"SO2","2021-07-08","6:00 - 7:00","0.006","ppm"
"SO2","2021-07-08","7:00 - 8:00","0.005","ppm"
"SO2","2021-07-08","8:00 - 9:00","0.005","ppm"
"SO2","2021-07-08","9:00 - 10:00","0.004","ppm"
"SO2","2021-07-08","10:00 - 11:00","0.003","ppm"
"SO2","2021-07-08","11:00 - 12:00","0.003","ppm"
"SO2","2021-07-08","12:00 - 13:00","0.002","ppm"
"SO2","2021-07-08","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-08","14:00 - 15:00","0.001","ppm"
"SO2","2021-07-08","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-08","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-08","17:00 - 18:00","0.001","ppm"
"SO2","2021-07-08","18:00 - 19:00","0.001","ppm"
"SO2","2021-07-08","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-08","20:00 - 21:00","0.002","ppm"
"SO2","2021-07-08","21:00 - 22:00","0.002","ppm"
"SO2","2021-07-08","22:00 - 23:00","0.002","ppm"
"SO2","2021-07-09","3:00 - 4:00","0.001","ppm"
"SO2","2021-07-09","4:00 - 5:00","0.001","ppm"
"SO2","2021-07-09","5:00 - 6:00","0.001","ppm"
"SO2","2021-07-09","6:00 - 7:00","0.001","ppm"
"SO2","2021-07-09","7:00 - 8:00","0.002","ppm"
"SO2","2021-07-09","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-09","9:00 - 10:00","0.002","ppm"
"SO2","2021-07-09","10:00 - 11:00","0.002","ppm"
"SO2","2021-07-09","11:00 - 12:00","0.001","ppm"
"SO2","2021-07-09","12:00 - 13:00","0.001","ppm"
"SO2","2021-07-09","13:00 - 14:00","0.001","ppm"
"SO2","2021-07-09","14:00 - 15:00","0.001","ppm"
"SO2","2021-07-09","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-09","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-09","17:00 - 18:00","0.002","ppm"
"SO2","2021-07-09","18:00 - 19:00","0.001","ppm"
"SO2","2021-07-09","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-09","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-09","21:00 - 22:00","0.012","ppm"
"SO2","2021-07-09","22:00 - 23:00","0.012","ppm"
"SO2","2021-07-10","2:00 - 3:00","0.004","ppm"
"SO2","2021-07-10","3:00 - 4:00","0.004","ppm"
"SO2","2021-07-10","4:00 - 5:00","0.003","ppm"
"SO2","2021-07-10","5:00 - 6:00","0.002","ppm"
"SO2","2021-07-10","6:00 - 7:00","0.002","ppm"
"SO2","2021-07-10","7:00 - 8:00","0.002","ppm"
"SO2","2021-07-10","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-10","9:00 - 10:00","0.002","ppm"
"SO2","2021-07-10","10:00 - 11:00","0.002","ppm"
"SO2","2021-07-10","11:00 - 12:00","0.002","ppm"
"SO2","2021-07-10","12:00 - 13:00","0.001","ppm"
"SO2","2021-07-10","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-10","14:00 - 15:00","0.002","ppm"
"SO2","2021-07-10","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-10","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-10","17:00 - 18:00","0.001","ppm"
"SO2","2021-07-10","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-10","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-10","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-10","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-10","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-11","3:00 - 4:00","0.001","ppm"
"SO2","2021-07-11","4:00 - 5:00","0.002","ppm"
"SO2","2021-07-11","5:00 - 6:00","0.005","ppm"
"SO2","2021-07-11","6:00 - 7:00","0.008","ppm"
"SO2","2021-07-11","7:00 - 8:00","0.007","ppm"
"SO2","2021-07-11","8:00 - 9:00","0.012","ppm"
"SO2","2021-07-11","9:00 - 10:00","0.016","ppm"
"SO2","2021-07-11","10:00 - 11:00","0.015","ppm"
"SO2","2021-07-11","11:00 - 12:00","0.010","ppm"
"SO2","2021-07-11","12:00 - 13:00","0.007","ppm"
"SO2","2021-07-11","13:00 - 14:00","0.006","ppm"
"SO2","2021-07-11","14:00 - 15:00","0.006","ppm"
"SO2","2021-07-11","15:00 - 16:00","0.006","ppm"
"SO2","2021-07-11","16:00 - 17:00","0.005","ppm"
"SO2","2021-07-11","17:00 - 18:00","0.003","ppm"
"SO2","2021-07-11","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-11","19:00 - 20:00","0.002","ppm"
"SO2","2021-07-11","20:00 - 21:00","0.002","ppm"
"SO2","2021-07-11","21:00 - 22:00","0.002","ppm"
"SO2","2021-07-11","22:00 - 23:00","0.002","ppm"
"SO2","2021-07-12","3:00 - 4:00","0.002","ppm"
"SO2","2021-07-12","4:00 - 5:00","0.002","ppm"
"SO2","2021-07-12","5:00 - 6:00","0.002","ppm"
"SO2","2021-07-12","6:00 - 7:00","0.002","ppm"
"SO2","2021-07-12","7:00 - 8:00","0.003","ppm"
"SO2","2021-07-12","8:00 - 9:00","0.003","ppm"
"SO2","2021-07-12","9:00 - 10:00","0.004","ppm"
"SO2","2021-07-12","10:00 - 11:00","0.007","ppm"
"SO2","2021-07-12","11:00 - 12:00","0.004","ppm"
"SO2","2021-07-12","12:00 - 13:00","0.003","ppm"
"SO2","2021-07-12","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-12","14:00 - 15:00","0.002","ppm"
"SO2","2021-07-12","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-12","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-12","17:00 - 18:00","0.002","ppm"
"SO2","2021-07-12","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-12","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-12","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-12","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-12","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-13","23:00 - 0:00","0.003","ppm"
"SO2","2021-07-13","5:00 - 6:00","0.015","ppm"
"SO2","2021-07-13","6:00 - 7:00","0.014","ppm"
"SO2","2021-07-13","7:00 - 8:00","0.011","ppm"
"SO2","2021-07-13","8:00 - 9:00","0.009","ppm"
"SO2","2021-07-13","9:00 - 10:00","0.007","ppm"
"SO2","2021-07-13","10:00 - 11:00","0.006","ppm"
"SO2","2021-07-13","11:00 - 12:00","0.004","ppm"
"SO2","2021-07-13","12:00 - 13:00","0.003","ppm"
"SO2","2021-07-13","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-13","14:00 - 15:00","0.002","ppm"
"SO2","2021-07-13","15:00 - 16:00","0.002","ppm"
"SO2","2021-07-13","16:00 - 17:00","0.002","ppm"
"SO2","2021-07-13","17:00 - 18:00","0.004","ppm"
"SO2","2021-07-13","18:00 - 19:00","0.004","ppm"
"SO2","2021-07-13","19:00 - 20:00","0.002","ppm"
"SO2","2021-07-13","20:00 - 21:00","0.002","ppm"
"SO2","2021-07-13","21:00 - 22:00","0.002","ppm"
"SO2","2021-07-13","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-14","23:00 - 0:00","0.001","ppm"
"SO2","2021-07-14","4:00 - 5:00","0.001","ppm"
"SO2","2021-07-14","5:00 - 6:00","0.001","ppm"
"SO2","2021-07-14","6:00 - 7:00","0.001","ppm"
"SO2","2021-07-14","7:00 - 8:00","0.001","ppm"
"SO2","2021-07-14","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-14","9:00 - 10:00","0.004","ppm"
"SO2","2021-07-14","10:00 - 11:00","0.003","ppm"
"SO2","2021-07-14","11:00 - 12:00","0.002","ppm"
"SO2","2021-07-14","12:00 - 13:00","0.002","ppm"
"SO2","2021-07-14","13:00 - 14:00","0.001","ppm"
"SO2","2021-07-14","14:00 - 15:00","0.001","ppm"
"SO2","2021-07-14","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-14","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-14","17:00 - 18:00","0.001","ppm"
"SO2","2021-07-14","18:00 - 19:00","0.001","ppm"
"SO2","2021-07-14","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-14","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-14","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-14","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-15","23:00 - 0:00","0.001","ppm"
"SO2","2021-07-15","0:00 - 1:00","0.001","ppm"
"SO2","2021-07-15","1:00 - 2:00","0.001","ppm"
"SO2","2021-07-15","2:00 - 3:00","0.002","ppm"
"SO2","2021-07-15","3:00 - 4:00","0.003","ppm"
"SO2","2021-07-15","4:00 - 5:00","0.003","ppm"
"SO2","2021-07-15","5:00 - 6:00","0.003","ppm"
"SO2","2021-07-15","6:00 - 7:00","0.004","ppm"
"SO2","2021-07-15","7:00 - 8:00","0.009","ppm"
"SO2","2021-07-15","8:00 - 9:00","0.024","ppm"
"SO2","2021-07-15","9:00 - 10:00","0.020","ppm"
"SO2","2021-07-15","10:00 - 11:00","0.013","ppm"
"SO2","2021-07-15","11:00 - 12:00","0.008","ppm"
"SO2","2021-07-15","15:00 - 16:00","0.002","ppm"
"SO2","2021-07-15","16:00 - 17:00","0.002","ppm"
"SO2","2021-07-15","17:00 - 18:00","0.002","ppm"
"SO2","2021-07-15","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-15","19:00 - 20:00","0.002","ppm"
"SO2","2021-07-15","20:00 - 21:00","0.002","ppm"
