"Parámetro","Fecha","Hora","Valor","Unidad"
"NO","2010-11-01","23:00 - 0:00","0.017","ppm"
"NO","2010-11-01","0:00 - 1:00","0.014","ppm"
"NO","2010-11-01","1:00 - 2:00","0.013","ppm"
"NO","2010-11-01","2:00 - 3:00","0.012","ppm"
"NO","2010-11-01","3:00 - 4:00","0.012","ppm"
"NO","2010-11-01","4:00 - 5:00","0.012","ppm"
"NO","2010-11-01","5:00 - 6:00","0.013","ppm"
"NO","2010-11-01","6:00 - 7:00","0.022","ppm"
"NO","2010-11-01","7:00 - 8:00","0.032","ppm"
"NO","2010-11-01","8:00 - 9:00","0.048","ppm"
"NO","2010-11-01","9:00 - 10:00","0.052","ppm"
"NO","2010-11-01","10:00 - 11:00","0.032","ppm"
"NO","2010-11-01","11:00 - 12:00","0.023","ppm"
"NO","2010-11-01","12:00 - 13:00","0.019","ppm"
"NO","2010-11-01","13:00 - 14:00","0.018","ppm"
"NO","2010-11-01","14:00 - 15:00","0.017","ppm"
"NO","2010-11-01","15:00 - 16:00","0.021","ppm"
"NO","2010-11-01","16:00 - 17:00","0.029","ppm"
"NO","2010-11-01","17:00 - 18:00","0.036","ppm"
"NO","2010-11-01","18:00 - 19:00","0.029","ppm"
"NO","2010-11-01","19:00 - 20:00","0.026","ppm"
"NO","2010-11-01","20:00 - 21:00","0.024","ppm"
"NO","2010-11-01","21:00 - 22:00","0.026","ppm"
"NO","2010-11-01","22:00 - 23:00","0.023","ppm"
"NO","2010-11-02","23:00 - 0:00","0.024","ppm"
"NO","2010-11-02","0:00 - 1:00","0.020","ppm"
"NO","2010-11-02","1:00 - 2:00","0.016","ppm"
"NO","2010-11-02","2:00 - 3:00","0.018","ppm"
"NO","2010-11-02","3:00 - 4:00","0.015","ppm"
"NO","2010-11-02","4:00 - 5:00","0.019","ppm"
"NO","2010-11-02","5:00 - 6:00","0.021","ppm"
"NO","2010-11-02","6:00 - 7:00","0.025","ppm"
"NO","2010-11-02","7:00 - 8:00","0.038","ppm"
"NO","2010-11-02","8:00 - 9:00","0.042","ppm"
"NO","2010-11-02","9:00 - 10:00","0.036","ppm"
"NO","2010-11-02","10:00 - 11:00","0.026","ppm"
"NO","2010-11-02","11:00 - 12:00","0.015","ppm"
"NO","2010-11-02","12:00 - 13:00","0.011","ppm"
"NO","2010-11-02","13:00 - 14:00","0.011","ppm"
"NO","2010-11-02","14:00 - 15:00","0.014","ppm"
"NO","2010-11-02","15:00 - 16:00","0.015","ppm"
"NO","2010-11-02","16:00 - 17:00","0.022","ppm"
"NO","2010-11-02","17:00 - 18:00","0.045","ppm"
"NO","2010-11-02","18:00 - 19:00","0.024","ppm"
"NO","2010-11-02","19:00 - 20:00","0.019","ppm"
"NO","2010-11-02","20:00 - 21:00","0.017","ppm"
"NO","2010-11-02","21:00 - 22:00","0.017","ppm"
"NO","2010-11-02","22:00 - 23:00","0.025","ppm"
"NO","2010-11-03","23:00 - 0:00","0.022","ppm"
"NO","2010-11-03","0:00 - 1:00","0.016","ppm"
"NO","2010-11-03","1:00 - 2:00","0.011","ppm"
"NO","2010-11-03","2:00 - 3:00","0.013","ppm"
"NO","2010-11-03","3:00 - 4:00","0.013","ppm"
"NO","2010-11-03","4:00 - 5:00","0.018","ppm"
"NO","2010-11-03","5:00 - 6:00","0.023","ppm"
"NO","2010-11-03","6:00 - 7:00","0.028","ppm"
"NO","2010-11-03","7:00 - 8:00","0.028","ppm"
"NO","2010-11-03","8:00 - 9:00","0.026","ppm"
"NO","2010-11-03","9:00 - 10:00","0.023","ppm"
"NO","2010-11-03","10:00 - 11:00","0.020","ppm"
"NO","2010-11-03","11:00 - 12:00","0.025","ppm"
"NO","2010-11-03","12:00 - 13:00","0.020","ppm"
"NO","2010-11-03","13:00 - 14:00","0.017","ppm"
"NO","2010-11-03","14:00 - 15:00","0.013","ppm"
"NO","2010-11-03","15:00 - 16:00","0.026","ppm"
"NO","2010-11-03","16:00 - 17:00","0.037","ppm"
"NO","2010-11-03","17:00 - 18:00","0.037","ppm"
"NO","2010-11-03","18:00 - 19:00","0.040","ppm"
"NO","2010-11-03","19:00 - 20:00","0.036","ppm"
"NO","2010-11-03","20:00 - 21:00","0.024","ppm"
"NO","2010-11-03","21:00 - 22:00","0.011","ppm"
"NO","2010-11-03","22:00 - 23:00","0.015","ppm"
"NO","2010-11-04","23:00 - 0:00","0.015","ppm"
"NO","2010-11-04","0:00 - 1:00","0.009","ppm"
"NO","2010-11-04","1:00 - 2:00","0.020","ppm"
"NO","2010-11-04","2:00 - 3:00","0.014","ppm"
"NO","2010-11-04","3:00 - 4:00","0.009","ppm"
"NO","2010-11-04","4:00 - 5:00","0.016","ppm"
"NO","2010-11-04","5:00 - 6:00","0.023","ppm"
"NO","2010-11-04","6:00 - 7:00","0.024","ppm"
"NO","2010-11-04","7:00 - 8:00","0.027","ppm"
"NO","2010-11-04","8:00 - 9:00","0.023","ppm"
"NO","2010-11-04","9:00 - 10:00","0.012","ppm"
"NO","2010-11-04","10:00 - 11:00","0.015","ppm"
"NO","2010-11-04","11:00 - 12:00","0.016","ppm"
"NO","2010-11-04","12:00 - 13:00","0.016","ppm"
"NO","2010-11-04","13:00 - 14:00","0.013","ppm"
"NO","2010-11-04","14:00 - 15:00","0.017","ppm"
"NO","2010-11-04","15:00 - 16:00","0.017","ppm"
"NO","2010-11-04","16:00 - 17:00","0.023","ppm"
"NO","2010-11-04","17:00 - 18:00","0.030","ppm"
"NO","2010-11-04","18:00 - 19:00","0.032","ppm"
"NO","2010-11-04","19:00 - 20:00","0.023","ppm"
"NO","2010-11-04","20:00 - 21:00","0.035","ppm"
"NO","2010-11-04","21:00 - 22:00","0.033","ppm"
"NO","2010-11-04","22:00 - 23:00","0.034","ppm"
"NO","2010-11-05","23:00 - 0:00","0.027","ppm"
"NO","2010-11-05","0:00 - 1:00","0.023","ppm"
"NO","2010-11-05","1:00 - 2:00","0.015","ppm"
"NO","2010-11-05","2:00 - 3:00","0.014","ppm"
"NO","2010-11-05","3:00 - 4:00","0.014","ppm"
"NO","2010-11-05","4:00 - 5:00","0.026","ppm"
"NO","2010-11-05","5:00 - 6:00","0.038","ppm"
"NO","2010-11-05","6:00 - 7:00","0.042","ppm"
"NO","2010-11-05","7:00 - 8:00","0.032","ppm"
"NO","2010-11-05","8:00 - 9:00","0.031","ppm"
"NO","2010-11-05","9:00 - 10:00","0.029","ppm"
"NO","2010-11-05","10:00 - 11:00","0.022","ppm"
"NO","2010-11-05","11:00 - 12:00","0.027","ppm"
"NO","2010-11-05","12:00 - 13:00","0.018","ppm"
"NO","2010-11-05","13:00 - 14:00","0.017","ppm"
"NO","2010-11-05","14:00 - 15:00","0.018","ppm"
"NO","2010-11-05","15:00 - 16:00","0.024","ppm"
"NO","2010-11-05","16:00 - 17:00","0.027","ppm"
"NO","2010-11-05","17:00 - 18:00","0.033","ppm"
"NO","2010-11-05","18:00 - 19:00","0.030","ppm"
"NO","2010-11-05","19:00 - 20:00","0.027","ppm"
"NO","2010-11-05","20:00 - 21:00","0.028","ppm"
"NO","2010-11-05","21:00 - 22:00","0.039","ppm"
"NO","2010-11-05","22:00 - 23:00","0.036","ppm"
"NO","2010-11-06","23:00 - 0:00","0.034","ppm"
"NO","2010-11-06","0:00 - 1:00","0.032","ppm"
"NO","2010-11-06","1:00 - 2:00","0.031","ppm"
"NO","2010-11-06","2:00 - 3:00","0.028","ppm"
"NO","2010-11-06","3:00 - 4:00","0.031","ppm"
"NO","2010-11-06","4:00 - 5:00","0.031","ppm"
"NO","2010-11-06","5:00 - 6:00","0.032","ppm"
"NO","2010-11-06","6:00 - 7:00","0.034","ppm"
"NO","2010-11-06","7:00 - 8:00","0.037","ppm"
"NO","2010-11-06","8:00 - 9:00","0.045","ppm"
"NO","2010-11-06","9:00 - 10:00","0.035","ppm"
"NO","2010-11-06","10:00 - 11:00","0.022","ppm"
"NO","2010-11-06","11:00 - 12:00","0.020","ppm"
"NO","2010-11-06","12:00 - 13:00","0.020","ppm"
"NO","2010-11-06","13:00 - 14:00","0.016","ppm"
"NO","2010-11-06","14:00 - 15:00","0.020","ppm"
"NO","2010-11-06","15:00 - 16:00","0.019","ppm"
"NO","2010-11-06","16:00 - 17:00","0.021","ppm"
"NO","2010-11-06","17:00 - 18:00","0.029","ppm"
"NO","2010-11-06","18:00 - 19:00","0.022","ppm"
"NO","2010-11-06","19:00 - 20:00","0.026","ppm"
"NO","2010-11-06","20:00 - 21:00","0.023","ppm"
"NO","2010-11-06","21:00 - 22:00","0.025","ppm"
"NO","2010-11-06","22:00 - 23:00","0.029","ppm"
"NO","2010-11-07","23:00 - 0:00","0.029","ppm"
"NO","2010-11-07","0:00 - 1:00","0.028","ppm"
"NO","2010-11-07","1:00 - 2:00","0.028","ppm"
"NO","2010-11-07","2:00 - 3:00","0.026","ppm"
"NO","2010-11-07","3:00 - 4:00","0.019","ppm"
"NO","2010-11-07","4:00 - 5:00","0.021","ppm"
"NO","2010-11-07","5:00 - 6:00","0.023","ppm"
"NO","2010-11-07","6:00 - 7:00","0.026","ppm"
"NO","2010-11-07","7:00 - 8:00","0.025","ppm"
"NO","2010-11-07","8:00 - 9:00","0.019","ppm"
"NO","2010-11-07","9:00 - 10:00","0.014","ppm"
"NO","2010-11-07","10:00 - 11:00","0.014","ppm"
"NO","2010-11-07","11:00 - 12:00","0.014","ppm"
"NO","2010-11-07","12:00 - 13:00","0.012","ppm"
"NO","2010-11-07","13:00 - 14:00","0.011","ppm"
"NO","2010-11-07","14:00 - 15:00","0.013","ppm"
"NO","2010-11-07","15:00 - 16:00","0.018","ppm"
"NO","2010-11-07","16:00 - 17:00","0.016","ppm"
"NO","2010-11-07","17:00 - 18:00","0.018","ppm"
"NO","2010-11-07","18:00 - 19:00","0.019","ppm"
"NO","2010-11-07","19:00 - 20:00","0.017","ppm"
"NO","2010-11-07","20:00 - 21:00","0.018","ppm"
"NO","2010-11-07","21:00 - 22:00","0.020","ppm"
"NO","2010-11-07","22:00 - 23:00","0.026","ppm"
"NO","2010-11-08","23:00 - 0:00","0.026","ppm"
"NO","2010-11-08","0:00 - 1:00","0.025","ppm"
"NO","2010-11-08","1:00 - 2:00","0.022","ppm"
"NO","2010-11-08","2:00 - 3:00","0.021","ppm"
"NO","2010-11-08","3:00 - 4:00","0.024","ppm"
"NO","2010-11-08","4:00 - 5:00","0.028","ppm"
"NO","2010-11-08","5:00 - 6:00","0.024","ppm"
"NO","2010-11-08","6:00 - 7:00","0.034","ppm"
"NO","2010-11-08","7:00 - 8:00","0.045","ppm"
"NO","2010-11-08","8:00 - 9:00","0.068","ppm"
"NO","2010-11-08","9:00 - 10:00","0.075","ppm"
"NO","2010-11-08","10:00 - 11:00","0.056","ppm"
"NO","2010-11-08","11:00 - 12:00","0.036","ppm"
"NO","2010-11-08","12:00 - 13:00","0.025","ppm"
"NO","2010-11-08","13:00 - 14:00","0.018","ppm"
"NO","2010-11-08","14:00 - 15:00","0.022","ppm"
"NO","2010-11-08","15:00 - 16:00","0.028","ppm"
"NO","2010-11-08","16:00 - 17:00","0.034","ppm"
"NO","2010-11-08","17:00 - 18:00","0.054","ppm"
"NO","2010-11-08","18:00 - 19:00","0.035","ppm"
"NO","2010-11-08","19:00 - 20:00","0.041","ppm"
"NO","2010-11-08","20:00 - 21:00","0.045","ppm"
"NO","2010-11-08","21:00 - 22:00","0.040","ppm"
"NO","2010-11-08","22:00 - 23:00","0.038","ppm"
"NO","2010-11-09","23:00 - 0:00","0.033","ppm"
"NO","2010-11-09","0:00 - 1:00","0.035","ppm"
"NO","2010-11-09","1:00 - 2:00","0.021","ppm"
"NO","2010-11-09","2:00 - 3:00","0.015","ppm"
"NO","2010-11-09","3:00 - 4:00","0.019","ppm"
"NO","2010-11-09","4:00 - 5:00","0.029","ppm"
"NO","2010-11-09","5:00 - 6:00","0.032","ppm"
"NO","2010-11-09","6:00 - 7:00","0.039","ppm"
"NO","2010-11-09","7:00 - 8:00","0.052","ppm"
"NO","2010-11-09","8:00 - 9:00","0.107","ppm"
"NO","2010-11-09","9:00 - 10:00","0.102","ppm"
"NO","2010-11-09","10:00 - 11:00","0.068","ppm"
"NO","2010-11-09","11:00 - 12:00","0.057","ppm"
"NO","2010-11-09","12:00 - 13:00","0.038","ppm"
"NO","2010-11-09","13:00 - 14:00","0.038","ppm"
"NO","2010-11-09","14:00 - 15:00","0.030","ppm"
