"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2021-09-07","23:00 - 0:00","0.022","ppm"
"NO2","2021-09-07","0:00 - 1:00","0.011","ppm"
"NO2","2021-09-07","1:00 - 2:00","0.007","ppm"
"NO2","2021-09-07","2:00 - 3:00","0.010","ppm"
"NO2","2021-09-07","3:00 - 4:00","0.003","ppm"
"NO2","2021-09-07","4:00 - 5:00","0.005","ppm"
"NO2","2021-09-07","5:00 - 6:00","0.012","ppm"
"NO2","2021-09-07","6:00 - 7:00","0.016","ppm"
"NO2","2021-09-07","7:00 - 8:00","0.023","ppm"
"NO2","2021-09-07","8:00 - 9:00","0.026","ppm"
"NO2","2021-09-07","9:00 - 10:00","0.034","ppm"
"NO2","2021-09-07","10:00 - 11:00","0.036","ppm"
"NO2","2021-09-07","11:00 - 12:00","0.039","ppm"
"NO2","2021-09-07","12:00 - 13:00","0.037","ppm"
"NO2","2021-09-07","13:00 - 14:00","0.039","ppm"
"NO2","2021-09-07","14:00 - 15:00","0.043","ppm"
"NO2","2021-09-07","15:00 - 16:00","0.050","ppm"
"NO2","2021-09-07","16:00 - 17:00","0.046","ppm"
"NO2","2021-09-07","17:00 - 18:00","0.033","ppm"
"NO2","2021-09-07","18:00 - 19:00","0.033","ppm"
"NO2","2021-09-07","19:00 - 20:00","0.029","ppm"
"NO2","2021-09-07","20:00 - 21:00","0.029","ppm"
"NO2","2021-09-07","22:00 - 23:00","0.027","ppm"
"NO2","2021-09-08","23:00 - 0:00","0.023","ppm"
"NO2","2021-09-08","0:00 - 1:00","0.018","ppm"
"NO2","2021-09-08","1:00 - 2:00","0.013","ppm"
"NO2","2021-09-08","2:00 - 3:00","0.009","ppm"
"NO2","2021-09-08","3:00 - 4:00","0.012","ppm"
"NO2","2021-09-08","4:00 - 5:00","0.020","ppm"
"NO2","2021-09-08","5:00 - 6:00","0.013","ppm"
"NO2","2021-09-08","6:00 - 7:00","0.015","ppm"
"NO2","2021-09-08","7:00 - 8:00","0.015","ppm"
"NO2","2021-09-08","9:00 - 10:00","0.025","ppm"
"NO2","2021-09-08","10:00 - 11:00","0.030","ppm"
"NO2","2021-09-08","11:00 - 12:00","0.039","ppm"
"NO2","2021-09-08","12:00 - 13:00","0.026","ppm"
"NO2","2021-09-08","13:00 - 14:00","0.030","ppm"
"NO2","2021-09-08","14:00 - 15:00","0.025","ppm"
"NO2","2021-09-08","15:00 - 16:00","0.030","ppm"
"NO2","2021-09-08","16:00 - 17:00","0.021","ppm"
"NO2","2021-09-08","17:00 - 18:00","0.016","ppm"
"NO2","2021-09-08","18:00 - 19:00","0.013","ppm"
"NO2","2021-09-08","19:00 - 20:00","0.013","ppm"
"NO2","2021-09-08","20:00 - 21:00","0.039","ppm"
"NO2","2021-09-08","21:00 - 22:00","0.031","ppm"
"NO2","2021-09-08","22:00 - 23:00","0.022","ppm"
"NO2","2021-09-09","23:00 - 0:00","0.018","ppm"
"NO2","2021-09-09","0:00 - 1:00","0.017","ppm"
"NO2","2021-09-09","1:00 - 2:00","0.019","ppm"
"NO2","2021-09-09","2:00 - 3:00","0.012","ppm"
"NO2","2021-09-09","3:00 - 4:00","0.007","ppm"
"NO2","2021-09-09","4:00 - 5:00","0.005","ppm"
"NO2","2021-09-09","5:00 - 6:00","0.006","ppm"
"NO2","2021-09-09","6:00 - 7:00","0.019","ppm"
"NO2","2021-09-09","7:00 - 8:00","0.022","ppm"
"NO2","2021-09-09","8:00 - 9:00","0.024","ppm"
