"Parámetro","Fecha","Hora","Valor","Unidad"
"NOx","2021-06-08","9:00 - 10:00","0.050","ppm"
"NOx","2021-06-08","10:00 - 11:00","0.043","ppm"
"NOx","2021-06-08","11:00 - 12:00","0.056","ppm"
"NOx","2021-06-08","12:00 - 13:00","0.037","ppm"
"NOx","2021-06-08","13:00 - 14:00","0.036","ppm"
"NOx","2021-06-08","14:00 - 15:00","0.030","ppm"
"NOx","2021-06-08","15:00 - 16:00","0.022","ppm"
"NOx","2021-06-08","16:00 - 17:00","0.019","ppm"
"NOx","2021-06-08","17:00 - 18:00","0.017","ppm"
"NOx","2021-06-08","18:00 - 19:00","0.014","ppm"
"NOx","2021-06-08","19:00 - 20:00","0.030","ppm"
"NOx","2021-06-08","20:00 - 21:00","0.033","ppm"
"NOx","2021-06-08","21:00 - 22:00","0.036","ppm"
"NOx","2021-06-08","22:00 - 23:00","0.033","ppm"
"NOx","2021-06-09","13:00 - 14:00","0.030","ppm"
"NOx","2021-06-09","14:00 - 15:00","0.019","ppm"
"NOx","2021-06-09","15:00 - 16:00","0.016","ppm"
"NOx","2021-06-09","16:00 - 17:00","0.014","ppm"
"NOx","2021-06-09","17:00 - 18:00","0.020","ppm"
"NOx","2021-06-09","18:00 - 19:00","0.026","ppm"
"NOx","2021-06-09","19:00 - 20:00","0.034","ppm"
"NOx","2021-06-09","20:00 - 21:00","0.039","ppm"
"NOx","2021-06-09","21:00 - 22:00","0.031","ppm"
"NOx","2021-06-09","22:00 - 23:00","0.021","ppm"
"NOx","2021-06-10","10:00 - 11:00","0.028","ppm"
"NOx","2021-06-10","11:00 - 12:00","0.024","ppm"
"NOx","2021-06-10","12:00 - 13:00","0.022","ppm"
"NOx","2021-06-10","13:00 - 14:00","0.018","ppm"
"NOx","2021-06-10","14:00 - 15:00","0.013","ppm"
"NOx","2021-06-10","15:00 - 16:00","0.014","ppm"
"NOx","2021-06-10","16:00 - 17:00","0.021","ppm"
"NOx","2021-06-10","17:00 - 18:00","0.012","ppm"
"NOx","2021-06-10","18:00 - 19:00","0.008","ppm"
"NOx","2021-06-10","19:00 - 20:00","0.009","ppm"
"NOx","2021-06-10","20:00 - 21:00","0.006","ppm"
"NOx","2021-06-10","21:00 - 22:00","0.017","ppm"
"NOx","2021-06-10","22:00 - 23:00","0.032","ppm"
"NOx","2021-06-11","7:00 - 8:00","0.093","ppm"
"NOx","2021-06-11","8:00 - 9:00","0.036","ppm"
"NOx","2021-06-11","9:00 - 10:00","0.025","ppm"
"NOx","2021-06-11","10:00 - 11:00","0.022","ppm"
"NOx","2021-06-11","11:00 - 12:00","0.028","ppm"
"NOx","2021-06-11","12:00 - 13:00","0.036","ppm"
"NOx","2021-06-11","13:00 - 14:00","0.030","ppm"
"NOx","2021-06-11","14:00 - 15:00","0.033","ppm"
"NOx","2021-06-11","15:00 - 16:00","0.025","ppm"
"NOx","2021-06-11","16:00 - 17:00","0.024","ppm"
"NOx","2021-06-11","17:00 - 18:00","0.034","ppm"
"NOx","2021-06-11","18:00 - 19:00","0.037","ppm"
"NOx","2021-06-11","19:00 - 20:00","0.060","ppm"
"NOx","2021-06-11","20:00 - 21:00","0.035","ppm"
"NOx","2021-06-11","21:00 - 22:00","0.018","ppm"
"NOx","2021-06-11","22:00 - 23:00","0.020","ppm"
"NOx","2021-06-12","23:00 - 0:00","0.034","ppm"
"NOx","2021-06-12","3:00 - 4:00","0.008","ppm"
"NOx","2021-06-12","4:00 - 5:00","0.011","ppm"
"NOx","2021-06-12","5:00 - 6:00","0.018","ppm"
"NOx","2021-06-12","6:00 - 7:00","0.044","ppm"
"NOx","2021-06-12","7:00 - 8:00","0.046","ppm"
"NOx","2021-06-12","8:00 - 9:00","0.020","ppm"
"NOx","2021-06-12","9:00 - 10:00","0.032","ppm"
"NOx","2021-06-12","10:00 - 11:00","0.029","ppm"
"NOx","2021-06-12","11:00 - 12:00","0.032","ppm"
"NOx","2021-06-12","12:00 - 13:00","0.028","ppm"
"NOx","2021-06-12","13:00 - 14:00","0.024","ppm"
"NOx","2021-06-12","14:00 - 15:00","0.016","ppm"
"NOx","2021-06-12","15:00 - 16:00","0.016","ppm"
"NOx","2021-06-12","16:00 - 17:00","0.018","ppm"
"NOx","2021-06-12","17:00 - 18:00","0.025","ppm"
"NOx","2021-06-12","18:00 - 19:00","0.027","ppm"
"NOx","2021-06-12","19:00 - 20:00","0.038","ppm"
"NOx","2021-06-12","20:00 - 21:00","0.042","ppm"
"NOx","2021-06-12","21:00 - 22:00","0.024","ppm"
"NOx","2021-06-12","22:00 - 23:00","0.009","ppm"
"NOx","2021-06-13","4:00 - 5:00","0.011","ppm"
"NOx","2021-06-13","5:00 - 6:00","0.013","ppm"
"NOx","2021-06-13","6:00 - 7:00","0.034","ppm"
"NOx","2021-06-13","7:00 - 8:00","0.028","ppm"
"NOx","2021-06-13","8:00 - 9:00","0.026","ppm"
"NOx","2021-06-13","9:00 - 10:00","0.024","ppm"
"NOx","2021-06-13","10:00 - 11:00","0.021","ppm"
"NOx","2021-06-13","11:00 - 12:00","0.022","ppm"
"NOx","2021-06-13","12:00 - 13:00","0.027","ppm"
"NOx","2021-06-13","13:00 - 14:00","0.025","ppm"
"NOx","2021-06-13","14:00 - 15:00","0.020","ppm"
"NOx","2021-06-13","15:00 - 16:00","0.022","ppm"
"NOx","2021-06-13","16:00 - 17:00","0.013","ppm"
"NOx","2021-06-13","17:00 - 18:00","0.015","ppm"
"NOx","2021-06-13","18:00 - 19:00","0.020","ppm"
"NOx","2021-06-13","19:00 - 20:00","0.015","ppm"
"NOx","2021-06-13","20:00 - 21:00","0.014","ppm"
"NOx","2021-06-13","21:00 - 22:00","0.023","ppm"
"NOx","2021-06-13","22:00 - 23:00","0.012","ppm"
"NOx","2021-06-14","3:00 - 4:00","0.004","ppm"
"NOx","2021-06-14","4:00 - 5:00","0.004","ppm"
"NOx","2021-06-14","5:00 - 6:00","0.011","ppm"
"NOx","2021-06-14","6:00 - 7:00","0.031","ppm"
"NOx","2021-06-14","7:00 - 8:00","0.033","ppm"
"NOx","2021-06-14","8:00 - 9:00","0.047","ppm"
"NOx","2021-06-14","9:00 - 10:00","0.047","ppm"
"NOx","2021-06-14","10:00 - 11:00","0.031","ppm"
"NOx","2021-06-14","11:00 - 12:00","0.026","ppm"
"NOx","2021-06-14","12:00 - 13:00","0.029","ppm"
"NOx","2021-06-14","13:00 - 14:00","0.015","ppm"
"NOx","2021-06-14","14:00 - 15:00","0.017","ppm"
"NOx","2021-06-14","15:00 - 16:00","0.021","ppm"
"NOx","2021-06-14","16:00 - 17:00","0.024","ppm"
"NOx","2021-06-14","17:00 - 18:00","0.020","ppm"
"NOx","2021-06-14","18:00 - 19:00","0.028","ppm"
"NOx","2021-06-14","19:00 - 20:00","0.037","ppm"
"NOx","2021-06-14","20:00 - 21:00","0.032","ppm"
"NOx","2021-06-14","21:00 - 22:00","0.026","ppm"
"NOx","2021-06-14","22:00 - 23:00","0.030","ppm"
"NOx","2021-06-15","23:00 - 0:00","0.017","ppm"
"NOx","2021-06-15","6:00 - 7:00","0.011","ppm"
"NOx","2021-06-15","7:00 - 8:00","0.011","ppm"
"NOx","2021-06-15","8:00 - 9:00","0.016","ppm"
"NOx","2021-06-15","9:00 - 10:00","0.026","ppm"
"NOx","2021-06-15","10:00 - 11:00","0.017","ppm"
"NOx","2021-06-15","11:00 - 12:00","0.023","ppm"
"NOx","2021-06-15","12:00 - 13:00","0.022","ppm"
"NOx","2021-06-15","13:00 - 14:00","0.016","ppm"
"NOx","2021-06-15","15:00 - 16:00","0.024","ppm"
"NOx","2021-06-15","16:00 - 17:00","0.022","ppm"
"NOx","2021-06-15","17:00 - 18:00","0.022","ppm"
"NOx","2021-06-15","18:00 - 19:00","0.021","ppm"
"NOx","2021-06-15","19:00 - 20:00","0.025","ppm"
"NOx","2021-06-15","20:00 - 21:00","0.022","ppm"
"NOx","2021-06-15","21:00 - 22:00","0.013","ppm"
"NOx","2021-06-15","22:00 - 23:00","0.029","ppm"
"NOx","2021-06-16","23:00 - 0:00","0.013","ppm"
