"Parámetro","Fecha","Hora","Valor","Unidad"
"PM10","2021-03-07","23:00 - 0:00","46","µg/m³"
"PM10","2021-03-07","0:00 - 1:00","20","µg/m³"
"PM10","2021-03-07","1:00 - 2:00","35","µg/m³"
"PM10","2021-03-07","2:00 - 3:00","70","µg/m³"
"PM10","2021-03-07","3:00 - 4:00","36","µg/m³"
"PM10","2021-03-07","4:00 - 5:00","35","µg/m³"
"PM10","2021-03-07","5:00 - 6:00","22","µg/m³"
"PM10","2021-03-07","6:00 - 7:00","34","µg/m³"
"PM10","2021-03-07","7:00 - 8:00","31","µg/m³"
"PM10","2021-03-07","8:00 - 9:00","50","µg/m³"
"PM10","2021-03-07","9:00 - 10:00","70","µg/m³"
"PM10","2021-03-07","10:00 - 11:00","97","µg/m³"
"PM10","2021-03-07","11:00 - 12:00","79","µg/m³"
"PM10","2021-03-07","12:00 - 13:00","29","µg/m³"
"PM10","2021-03-07","14:00 - 15:00","2","µg/m³"
"PM10","2021-03-07","17:00 - 18:00","90","µg/m³"
"PM10","2021-03-07","18:00 - 19:00","111","µg/m³"
"PM10","2021-03-07","19:00 - 20:00","2","µg/m³"
"PM10","2021-03-07","20:00 - 21:00","37","µg/m³"
"PM10","2021-03-07","21:00 - 22:00","22","µg/m³"
"PM10","2021-03-07","22:00 - 23:00","27","µg/m³"
"PM10","2021-03-08","23:00 - 0:00","35","µg/m³"
"PM10","2021-03-08","0:00 - 1:00","17","µg/m³"
"PM10","2021-03-08","1:00 - 2:00","7","µg/m³"
"PM10","2021-03-08","2:00 - 3:00","16","µg/m³"
"PM10","2021-03-08","3:00 - 4:00","17","µg/m³"
"PM10","2021-03-08","4:00 - 5:00","30","µg/m³"
"PM10","2021-03-08","5:00 - 6:00","23","µg/m³"
"PM10","2021-03-08","6:00 - 7:00","32","µg/m³"
"PM10","2021-03-08","7:00 - 8:00","36","µg/m³"
"PM10","2021-03-08","8:00 - 9:00","68","µg/m³"
"PM10","2021-03-08","9:00 - 10:00","75","µg/m³"
"PM10","2021-03-08","10:00 - 11:00","76","µg/m³"
"PM10","2021-03-08","11:00 - 12:00","85","µg/m³"
"PM10","2021-03-08","12:00 - 13:00","77","µg/m³"
"PM10","2021-03-08","13:00 - 14:00","28","µg/m³"
"PM10","2021-03-08","14:00 - 15:00","39","µg/m³"
"PM10","2021-03-08","15:00 - 16:00","22","µg/m³"
"PM10","2021-03-08","16:00 - 17:00","19","µg/m³"
"PM10","2021-03-08","17:00 - 18:00","37","µg/m³"
"PM10","2021-03-08","18:00 - 19:00","54","µg/m³"
"PM10","2021-03-08","19:00 - 20:00","80","µg/m³"
"PM10","2021-03-08","20:00 - 21:00","91","µg/m³"
"PM10","2021-03-08","21:00 - 22:00","88","µg/m³"
"PM10","2021-03-08","22:00 - 23:00","65","µg/m³"
"PM10","2021-03-09","23:00 - 0:00","44","µg/m³"
"PM10","2021-03-09","0:00 - 1:00","27","µg/m³"
"PM10","2021-03-09","1:00 - 2:00","32","µg/m³"
"PM10","2021-03-09","2:00 - 3:00","23","µg/m³"
"PM10","2021-03-09","3:00 - 4:00","9","µg/m³"
"PM10","2021-03-09","4:00 - 5:00","18","µg/m³"
"PM10","2021-03-09","5:00 - 6:00","16","µg/m³"
"PM10","2021-03-09","6:00 - 7:00","26","µg/m³"
"PM10","2021-03-09","7:00 - 8:00","30","µg/m³"
"PM10","2021-03-09","8:00 - 9:00","77","µg/m³"
"PM10","2021-03-09","9:00 - 10:00","71","µg/m³"
"PM10","2021-03-09","10:00 - 11:00","36","µg/m³"
"PM10","2021-03-09","11:00 - 12:00","20","µg/m³"
"PM10","2021-03-09","12:00 - 13:00","1","µg/m³"
"PM10","2021-03-09","13:00 - 14:00","20","µg/m³"
"PM10","2021-03-09","16:00 - 17:00","27","µg/m³"
"PM10","2021-03-09","17:00 - 18:00","53","µg/m³"
"PM10","2021-03-09","18:00 - 19:00","68","µg/m³"
"PM10","2021-03-09","19:00 - 20:00","104","µg/m³"
"PM10","2021-03-09","20:00 - 21:00","103","µg/m³"
"PM10","2021-03-09","21:00 - 22:00","67","µg/m³"
"PM10","2021-03-09","22:00 - 23:00","43","µg/m³"
"PM10","2021-03-10","23:00 - 0:00","49","µg/m³"
"PM10","2021-03-10","0:00 - 1:00","49","µg/m³"
"PM10","2021-03-10","1:00 - 2:00","18","µg/m³"
"PM10","2021-03-10","3:00 - 4:00","6","µg/m³"
"PM10","2021-03-10","5:00 - 6:00","13","µg/m³"
"PM10","2021-03-10","7:00 - 8:00","41","µg/m³"
"PM10","2021-03-10","8:00 - 9:00","61","µg/m³"
"PM10","2021-03-10","9:00 - 10:00","61","µg/m³"
"PM10","2021-03-10","10:00 - 11:00","85","µg/m³"
"PM10","2021-03-10","12:00 - 13:00","48","µg/m³"
"PM10","2021-03-10","14:00 - 15:00","6","µg/m³"
"PM10","2021-03-10","15:00 - 16:00","31","µg/m³"
"PM10","2021-03-10","16:00 - 17:00","44","µg/m³"
"PM10","2021-03-10","17:00 - 18:00","52","µg/m³"
"PM10","2021-03-10","18:00 - 19:00","72","µg/m³"
"PM10","2021-03-10","19:00 - 20:00","95","µg/m³"
"PM10","2021-03-10","20:00 - 21:00","82","µg/m³"
"PM10","2021-03-10","21:00 - 22:00","61","µg/m³"
"PM10","2021-03-10","22:00 - 23:00","68","µg/m³"
"PM10","2021-03-11","23:00 - 0:00","57","µg/m³"
"PM10","2021-03-11","0:00 - 1:00","33","µg/m³"
"PM10","2021-03-11","1:00 - 2:00","35","µg/m³"
"PM10","2021-03-11","2:00 - 3:00","23","µg/m³"
"PM10","2021-03-11","3:00 - 4:00","15","µg/m³"
"PM10","2021-03-11","4:00 - 5:00","7","µg/m³"
"PM10","2021-03-11","5:00 - 6:00","30","µg/m³"
"PM10","2021-03-11","6:00 - 7:00","58","µg/m³"
"PM10","2021-03-11","7:00 - 8:00","86","µg/m³"
"PM10","2021-03-11","8:00 - 9:00","131","µg/m³"
"PM10","2021-03-11","9:00 - 10:00","144","µg/m³"
"PM10","2021-03-11","10:00 - 11:00","144","µg/m³"
"PM10","2021-03-11","11:00 - 12:00","76","µg/m³"
"PM10","2021-03-11","13:00 - 14:00","59","µg/m³"
"PM10","2021-03-12","23:00 - 0:00","68","µg/m³"
"PM10","2021-03-12","0:00 - 1:00","50","µg/m³"
"PM10","2021-03-12","1:00 - 2:00","25","µg/m³"
"PM10","2021-03-12","2:00 - 3:00","3","µg/m³"
"PM10","2021-03-12","3:00 - 4:00","22","µg/m³"
"PM10","2021-03-12","4:00 - 5:00","19","µg/m³"
"PM10","2021-03-12","5:00 - 6:00","21","µg/m³"
"PM10","2021-03-12","6:00 - 7:00","33","µg/m³"
"PM10","2021-03-12","7:00 - 8:00","70","µg/m³"
"PM10","2021-03-12","8:00 - 9:00","122","µg/m³"
"PM10","2021-03-12","9:00 - 10:00","93","µg/m³"
"PM10","2021-03-12","10:00 - 11:00","104","µg/m³"
"PM10","2021-03-12","11:00 - 12:00","103","µg/m³"
"PM10","2021-03-12","12:00 - 13:00","79","µg/m³"
"PM10","2021-03-12","13:00 - 14:00","17","µg/m³"
