"Parámetro","Fecha","Hora","Valor","Unidad"
"SO2","2021-07-21","2:00 - 3:00","0.000","ppm"
"SO2","2021-07-21","3:00 - 4:00","0.000","ppm"
"SO2","2021-07-21","4:00 - 5:00","0.000","ppm"
"SO2","2021-07-21","5:00 - 6:00","0.000","ppm"
"SO2","2021-07-21","6:00 - 7:00","0.001","ppm"
"SO2","2021-07-21","7:00 - 8:00","0.002","ppm"
"SO2","2021-07-21","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-21","9:00 - 10:00","0.002","ppm"
"SO2","2021-07-21","10:00 - 11:00","0.002","ppm"
"SO2","2021-07-21","12:00 - 13:00","0.002","ppm"
"SO2","2021-07-21","13:00 - 14:00","0.001","ppm"
"SO2","2021-07-21","14:00 - 15:00","0.002","ppm"
"SO2","2021-07-21","15:00 - 16:00","0.002","ppm"
"SO2","2021-07-21","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-21","17:00 - 18:00","0.001","ppm"
"SO2","2021-07-21","18:00 - 19:00","0.000","ppm"
"SO2","2021-07-21","19:00 - 20:00","0.000","ppm"
"SO2","2021-07-21","20:00 - 21:00","0.000","ppm"
"SO2","2021-07-21","21:00 - 22:00","0.000","ppm"
"SO2","2021-07-22","0:00 - 1:00","0.000","ppm"
"SO2","2021-07-22","1:00 - 2:00","0.000","ppm"
"SO2","2021-07-22","3:00 - 4:00","0.000","ppm"
"SO2","2021-07-22","4:00 - 5:00","0.000","ppm"
"SO2","2021-07-22","6:00 - 7:00","0.000","ppm"
"SO2","2021-07-22","7:00 - 8:00","0.001","ppm"
"SO2","2021-07-22","8:00 - 9:00","0.001","ppm"
"SO2","2021-07-22","9:00 - 10:00","0.000","ppm"
"SO2","2021-07-22","10:00 - 11:00","0.000","ppm"
"SO2","2021-07-22","11:00 - 12:00","0.001","ppm"
"SO2","2021-07-22","12:00 - 13:00","0.002","ppm"
"SO2","2021-07-22","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-22","14:00 - 15:00","0.001","ppm"
"SO2","2021-07-22","15:00 - 16:00","0.001","ppm"
"SO2","2021-07-22","16:00 - 17:00","0.002","ppm"
"SO2","2021-07-22","17:00 - 18:00","0.000","ppm"
"SO2","2021-07-22","18:00 - 19:00","0.000","ppm"
"SO2","2021-07-22","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-22","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-22","21:00 - 22:00","0.000","ppm"
"SO2","2021-07-22","22:00 - 23:00","0.000","ppm"
"SO2","2021-07-23","8:00 - 9:00","0.001","ppm"
"SO2","2021-07-23","9:00 - 10:00","0.009","ppm"
"SO2","2021-07-23","10:00 - 11:00","0.013","ppm"
"SO2","2021-07-23","11:00 - 12:00","0.012","ppm"
"SO2","2021-07-23","12:00 - 13:00","0.018","ppm"
"SO2","2021-07-23","13:00 - 14:00","0.015","ppm"
"SO2","2021-07-23","14:00 - 15:00","0.010","ppm"
"SO2","2021-07-23","15:00 - 16:00","0.006","ppm"
"SO2","2021-07-23","16:00 - 17:00","0.004","ppm"
"SO2","2021-07-23","17:00 - 18:00","0.003","ppm"
"SO2","2021-07-23","18:00 - 19:00","0.002","ppm"
"SO2","2021-07-23","19:00 - 20:00","0.002","ppm"
"SO2","2021-07-23","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-23","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-23","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-24","23:00 - 0:00","0.001","ppm"
"SO2","2021-07-24","0:00 - 1:00","0.000","ppm"
"SO2","2021-07-24","6:00 - 7:00","0.001","ppm"
"SO2","2021-07-24","7:00 - 8:00","0.001","ppm"
"SO2","2021-07-24","8:00 - 9:00","0.001","ppm"
"SO2","2021-07-24","9:00 - 10:00","0.010","ppm"
"SO2","2021-07-24","10:00 - 11:00","0.015","ppm"
"SO2","2021-07-24","11:00 - 12:00","0.012","ppm"
"SO2","2021-07-24","12:00 - 13:00","0.010","ppm"
"SO2","2021-07-24","13:00 - 14:00","0.007","ppm"
"SO2","2021-07-24","14:00 - 15:00","0.007","ppm"
"SO2","2021-07-24","15:00 - 16:00","0.008","ppm"
"SO2","2021-07-24","16:00 - 17:00","0.006","ppm"
"SO2","2021-07-24","17:00 - 18:00","0.009","ppm"
"SO2","2021-07-24","18:00 - 19:00","0.017","ppm"
"SO2","2021-07-24","19:00 - 20:00","0.009","ppm"
"SO2","2021-07-24","20:00 - 21:00","0.002","ppm"
"SO2","2021-07-24","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-24","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-25","23:00 - 0:00","0.001","ppm"
"SO2","2021-07-25","4:00 - 5:00","0.001","ppm"
"SO2","2021-07-25","5:00 - 6:00","0.000","ppm"
"SO2","2021-07-25","6:00 - 7:00","0.000","ppm"
"SO2","2021-07-25","7:00 - 8:00","0.001","ppm"
"SO2","2021-07-25","8:00 - 9:00","0.002","ppm"
"SO2","2021-07-25","9:00 - 10:00","0.003","ppm"
"SO2","2021-07-25","10:00 - 11:00","0.005","ppm"
"SO2","2021-07-25","11:00 - 12:00","0.003","ppm"
"SO2","2021-07-25","12:00 - 13:00","0.002","ppm"
"SO2","2021-07-25","13:00 - 14:00","0.002","ppm"
"SO2","2021-07-25","14:00 - 15:00","0.002","ppm"
"SO2","2021-07-25","15:00 - 16:00","0.002","ppm"
"SO2","2021-07-25","16:00 - 17:00","0.001","ppm"
"SO2","2021-07-25","17:00 - 18:00","0.001","ppm"
"SO2","2021-07-25","18:00 - 19:00","0.001","ppm"
"SO2","2021-07-25","19:00 - 20:00","0.001","ppm"
"SO2","2021-07-25","20:00 - 21:00","0.001","ppm"
"SO2","2021-07-25","21:00 - 22:00","0.001","ppm"
"SO2","2021-07-25","22:00 - 23:00","0.001","ppm"
"SO2","2021-07-26","23:00 - 0:00","0.001","ppm"
"SO2","2021-07-26","0:00 - 1:00","0.001","ppm"
"SO2","2021-07-26","1:00 - 2:00","0.000","ppm"
"SO2","2021-07-26","2:00 - 3:00","0.000","ppm"
"SO2","2021-07-26","3:00 - 4:00","0.000","ppm"
"SO2","2021-07-26","6:00 - 7:00","0.001","ppm"
