"Parámetro","Fecha","Hora","Valor","Unidad"
"O3","2021-08-07","2:00 - 3:00","0.002","ppm"
"O3","2021-08-07","3:00 - 4:00","0.002","ppm"
"O3","2021-08-07","4:00 - 5:00","0.003","ppm"
"O3","2021-08-07","5:00 - 6:00","0.002","ppm"
"O3","2021-08-07","6:00 - 7:00","0.002","ppm"
"O3","2021-08-07","7:00 - 8:00","0.001","ppm"
"O3","2021-08-07","8:00 - 9:00","0.002","ppm"
"O3","2021-08-07","9:00 - 10:00","0.003","ppm"
"O3","2021-08-07","10:00 - 11:00","0.009","ppm"
"O3","2021-08-07","11:00 - 12:00","0.028","ppm"
"O3","2021-08-07","12:00 - 13:00","0.046","ppm"
"O3","2021-08-07","13:00 - 14:00","0.068","ppm"
"O3","2021-08-07","14:00 - 15:00","0.087","ppm"
"O3","2021-08-07","15:00 - 16:00","0.092","ppm"
"O3","2021-08-07","16:00 - 17:00","0.082","ppm"
"O3","2021-08-07","17:00 - 18:00","0.077","ppm"
"O3","2021-08-07","18:00 - 19:00","0.043","ppm"
"O3","2021-08-07","19:00 - 20:00","0.027","ppm"
"O3","2021-08-07","20:00 - 21:00","0.019","ppm"
"O3","2021-08-07","21:00 - 22:00","0.012","ppm"
"O3","2021-08-07","22:00 - 23:00","0.009","ppm"
"O3","2021-08-08","23:00 - 0:00","0.011","ppm"
"O3","2021-08-08","0:00 - 1:00","0.008","ppm"
"O3","2021-08-08","4:00 - 5:00","0.006","ppm"
"O3","2021-08-08","5:00 - 6:00","0.005","ppm"
"O3","2021-08-08","6:00 - 7:00","0.004","ppm"
"O3","2021-08-08","7:00 - 8:00","0.003","ppm"
"O3","2021-08-08","8:00 - 9:00","0.005","ppm"
"O3","2021-08-08","9:00 - 10:00","0.011","ppm"
"O3","2021-08-08","10:00 - 11:00","0.013","ppm"
"O3","2021-08-08","11:00 - 12:00","0.027","ppm"
"O3","2021-08-08","12:00 - 13:00","0.048","ppm"
"O3","2021-08-08","13:00 - 14:00","0.070","ppm"
"O3","2021-08-08","14:00 - 15:00","0.070","ppm"
"O3","2021-08-08","15:00 - 16:00","0.034","ppm"
"O3","2021-08-08","16:00 - 17:00","0.018","ppm"
"O3","2021-08-08","17:00 - 18:00","0.023","ppm"
"O3","2021-08-08","18:00 - 19:00","0.021","ppm"
"O3","2021-08-08","19:00 - 20:00","0.017","ppm"
"O3","2021-08-08","20:00 - 21:00","0.009","ppm"
"O3","2021-08-08","21:00 - 22:00","0.004","ppm"
"O3","2021-08-08","22:00 - 23:00","0.001","ppm"
